Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
Vinicius Junior,Brazil,Real Madrid,2019-20,Quarter-Final,Chelsea,5,Left Foot,Away,1
Mohamed Salah,Egypt,Liverpool,2010-11,Group Stage,Arsenal,48,Penalty,Home,1
Robert Lewandowski,Poland,Bayern Munich,2014-15,Group Stage,Chelsea,64,Left Foot,Away,3
Jude Bellingham,England,Real Madrid,2022-23,Round Of 16,Liverpool,48,Left Foot,Home,1
Karim Benzema,France,Real Madrid,2022-23,Group Stage,Atletico Madrid,93,Right Foot,Home,2
Robert Lewandowski,Poland,Barcelona,2010-11,Semi-Final,Atletico Madrid,69,Left Foot,Home,1
Gareth Bale,Wales,Real Madrid,2023-24,Round Of 16,Atletico Madrid,58,Header,Away,1
Toni Kroos,Germany,Real Madrid,2022-23,Final,Inter Milan,1,Free Kick,Away,3
Bukayo Saka,England,Arsenal,2013-14,Quarter-Final,Chelsea,15,Penalty,Away,1
Ruud Van Nistelrooy,Netherlands,Manchester United,2016-17,Round Of 16,Borussia Dortmund,39,Right Foot,Away,1
Jude Bellingham,England,Real Madrid,2021-22,Group Stage,Manchester City,38,Penalty,Away,3
Neymar Jr,Brazil,Barcelona,2019-20,Group Stage,Bayern Munich,16,Header,Away,1
Kevin De Bruyne,Belgium,Manchester City,2017-18,Group Stage,Ajax,39,Right Foot,Away,1
Ruud Van Nistelrooy,Netherlands,Manchester United,2013-14,Group Stage,Manchester City,64,Penalty,Away,1
Erling Haaland,Norway,Borussia Dortmund,2018-19,Quarter-Final,Porto,54,Left Foot,Away,2
Victor Osimhen,Nigeria,Napoli,2012-13,Final,Real Madrid,90,Header,Home,2
Bukayo Saka,England,Arsenal,2018-19,Quarter-Final,Porto,93,Header,Away,3
Neymar Jr,Brazil,Barcelona,2023-24,Group Stage,Liverpool,31,Left Foot,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2017-18,Semi-Final,Borussia Dortmund,64,Penalty,Home,2
Kylian Mbappe,France,Real Madrid,2015-16,Quarter-Final,Inter Milan,55,Right Foot,Away,1
Memphis Depay,Netherlands,Barcelona,2012-13,Final,Bayern Munich,16,Penalty,Home,2
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2020-21,Quarter-Final,Real Madrid,38,Right Foot,Home,2
Cristiano Ronaldo,Portugal,Manchester United,2022-23,Final,Juventus,75,Left Foot,Away,1
Bukayo Saka,England,Arsenal,2022-23,Group Stage,Chelsea,64,Free Kick,Away,2
Luis Suarez,Uruguay,Barcelona,2020-21,Final,Ac Milan,85,Left Foot,Away,1
Harry Kane,England,Bayern Munich,2017-18,Semi-Final,Atletico Madrid,67,Right Foot,Home,1
Riyad Mahrez,Algeria,Manchester City,2014-15,Round Of 16,Porto,32,Header,Home,2
Vinicius Junior,Brazil,Real Madrid,2012-13,Group Stage,Paris Saint-Germain,52,Right Foot,Home,3
Riyad Mahrez,Algeria,Manchester City,2022-23,Round Of 16,Bayern Munich,56,Penalty,Home,2
Riyad Mahrez,Algeria,Manchester City,2013-14,Group Stage,Arsenal,5,Header,Home,2
Luis Suarez,Uruguay,Barcelona,2015-16,Final,Paris Saint-Germain,59,Left Foot,Home,1
Didier Drogba,Ivory Coast,Chelsea,2014-15,Group Stage,Napoli,86,Right Foot,Away,1
Thomas Muller,Germany,Bayern Munich,2012-13,Round Of 16,Atletico Madrid,51,Penalty,Away,1
Julian Alvarez,Argentina,Manchester City,2011-12,Round Of 16,Sevilla,54,Right Foot,Away,2
Bukayo Saka,England,Arsenal,2016-17,Group Stage,Real Madrid,83,Right Foot,Away,1
Victor Osimhen,Nigeria,Napoli,2013-14,Final,Barcelona,54,Right Foot,Home,1
Robert Lewandowski,Poland,Borussia Dortmund,2014-15,Round Of 16,Porto,73,Right Foot,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2013-14,Group Stage,Porto,43,Header,Away,1
Luka Modric,Croatia,Real Madrid,2022-23,Group Stage,Benfica,28,Header,Away,2
Erling Haaland,Norway,Manchester City,2022-23,Quarter-Final,Napoli,62,Penalty,Away,1
Gareth Bale,Wales,Real Madrid,2018-19,Group Stage,Ac Milan,86,Header,Away,2
Didier Drogba,Ivory Coast,Chelsea,2010-11,Group Stage,Juventus,70,Right Foot,Home,1
Riyad Mahrez,Algeria,Manchester City,2018-19,Round Of 16,Napoli,90,Right Foot,Away,1
Harry Kane,England,Bayern Munich,2020-21,Group Stage,Napoli,17,Left Foot,Home,1
Antoine Griezmann,France,Atletico Madrid,2012-13,Round Of 16,Chelsea,16,Header,Home,1
Joshua Kimmich,Germany,Bayern Munich,2018-19,Group Stage,Ajax,85,Free Kick,Home,1
Fernando Torres,Spain,Chelsea,2017-18,Quarter-Final,Sevilla,34,Header,Away,3
Alfredo Di Stefano,Argentina,Real Madrid,2020-21,Round Of 16,Chelsea,5,Penalty,Away,1
Filippo Inzaghi,Italy,Ac Milan,2019-20,Group Stage,Juventus,24,Header,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2016-17,Quarter-Final,Liverpool,74,Penalty,Away,1
Ousmane Dembele,France,Barcelona,2011-12,Group Stage,Manchester City,2,Header,Home,3
Gareth Bale,Wales,Real Madrid,2023-24,Round Of 16,Arsenal,33,Penalty,Away,3
Didier Drogba,Ivory Coast,Chelsea,2023-24,Round Of 16,Tottenham Hotspur,43,Right Foot,Away,3
Thomas Muller,Germany,Bayern Munich,2020-21,Round Of 16,Tottenham Hotspur,6,Penalty,Away,1
Alessandro Del Piero,Italy,Juventus,2013-14,Round Of 16,Arsenal,67,Penalty,Home,1
Ousmane Dembele,France,Paris Saint-Germain,2017-18,Semi-Final,Atletico Madrid,82,Header,Away,1
Antoine Griezmann,France,Atletico Madrid,2014-15,Round Of 16,Juventus,50,Header,Home,3
Toni Kroos,Germany,Real Madrid,2017-18,Quarter-Final,Tottenham Hotspur,70,Left Foot,Away,1
Thomas Muller,Germany,Bayern Munich,2013-14,Group Stage,Ajax,59,Penalty,Away,1
Filippo Inzaghi,Italy,Ac Milan,2017-18,Final,Sevilla,18,Penalty,Home,1
Riyad Mahrez,Algeria,Manchester City,2015-16,Group Stage,Ajax,3,Free Kick,Home,3
Lionel Messi,Argentina,Paris Saint-Germain,2022-23,Quarter-Final,Real Madrid,39,Free Kick,Away,1
Bernardo Silva,Portugal,Manchester City,2018-19,Round Of 16,Tottenham Hotspur,41,Penalty,Home,2
Kylian Mbappe,France,Paris Saint-Germain,2010-11,Round Of 16,Manchester United,56,Right Foot,Away,1
Sergio Aguero,Argentina,Manchester City,2021-22,Final,Juventus,47,Free Kick,Away,2
Paulo Dybala,Argentina,Juventus,2020-21,Round Of 16,Arsenal,12,Header,Home,1
Thomas Muller,Germany,Bayern Munich,2022-23,Semi-Final,Ajax,55,Header,Away,1
Victor Osimhen,Nigeria,Napoli,2014-15,Group Stage,Ajax,19,Penalty,Away,1
Thomas Muller,Germany,Bayern Munich,2019-20,Round Of 16,Borussia Dortmund,77,Header,Home,2
Alfredo Di Stefano,Argentina,Real Madrid,2010-11,Group Stage,Ajax,80,Header,Home,1
Bernardo Silva,Portugal,Manchester City,2021-22,Round Of 16,Bayern Munich,83,Header,Away,1
Antoine Griezmann,France,Atletico Madrid,2014-15,Round Of 16,Tottenham Hotspur,94,Free Kick,Away,1
Erling Haaland,Norway,Borussia Dortmund,2019-20,Group Stage,Ac Milan,5,Right Foot,Home,2
Andriy Shevchenko,Ukraine,Ac Milan,2012-13,Round Of 16,Manchester United,96,Free Kick,Away,1
Gareth Bale,Wales,Real Madrid,2018-19,Round Of 16,Atletico Madrid,16,Header,Away,2
Wayne Rooney,England,Manchester United,2010-11,Group Stage,Borussia Dortmund,33,Free Kick,Away,1
Robert Lewandowski,Poland,Bayern Munich,2016-17,Final,Barcelona,90,Penalty,Away,2
Bernardo Silva,Portugal,Manchester City,2014-15,Round Of 16,Sevilla,33,Left Foot,Away,1
Thomas Muller,Germany,Bayern Munich,2018-19,Group Stage,Borussia Dortmund,17,Right Foot,Away,1
Antoine Griezmann,France,Atletico Madrid,2012-13,Group Stage,Manchester City,37,Header,Away,3
Luis Suarez,Uruguay,Atletico Madrid,2019-20,Round Of 16,Ajax,15,Header,Away,2
Erling Haaland,Norway,Borussia Dortmund,2017-18,Round Of 16,Arsenal,59,Right Foot,Home,3
Paulo Dybala,Argentina,Juventus,2015-16,Group Stage,Tottenham Hotspur,30,Penalty,Away,2
Vinicius Junior,Brazil,Real Madrid,2014-15,Group Stage,Sevilla,26,Left Foot,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2011-12,Round Of 16,Atletico Madrid,94,Penalty,Home,1
Vinicius Junior,Brazil,Real Madrid,2020-21,Group Stage,Napoli,68,Right Foot,Home,2
Julian Alvarez,Argentina,Manchester City,2021-22,Final,Juventus,51,Header,Away,1
Bernardo Silva,Portugal,Manchester City,2022-23,Round Of 16,Atletico Madrid,94,Penalty,Home,1
Ousmane Dembele,France,Paris Saint-Germain,2021-22,Round Of 16,Atletico Madrid,35,Free Kick,Away,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2011-12,Round Of 16,Barcelona,12,Header,Away,1
Antoine Griezmann,France,Atletico Madrid,2017-18,Round Of 16,Ac Milan,30,Free Kick,Home,1
Robert Lewandowski,Poland,Borussia Dortmund,2018-19,Group Stage,Ac Milan,70,Penalty,Away,2
Bernardo Silva,Portugal,Manchester City,2021-22,Round Of 16,Ac Milan,64,Penalty,Away,2
Bukayo Saka,England,Arsenal,2019-20,Semi-Final,Bayern Munich,91,Free Kick,Away,1
Luis Suarez,Uruguay,Barcelona,2014-15,Semi-Final,Ac Milan,28,Right Foot,Home,2
Ruud Van Nistelrooy,Netherlands,Manchester United,2021-22,Group Stage,Tottenham Hotspur,39,Free Kick,Home,2
Gareth Bale,Wales,Real Madrid,2022-23,Round Of 16,Ajax,63,Header,Away,1
Alessandro Del Piero,Italy,Juventus,2013-14,Semi-Final,Ajax,27,Right Foot,Away,1
Sadio Mane,Senegal,Bayern Munich,2019-20,Group Stage,Porto,88,Header,Away,1
Didier Drogba,Ivory Coast,Chelsea,2020-21,Group Stage,Borussia Dortmund,84,Left Foot,Away,1
Luka Modric,Croatia,Real Madrid,2020-21,Final,Tottenham Hotspur,74,Left Foot,Away,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2023-24,Quarter-Final,Ajax,31,Left Foot,Home,1
Jude Bellingham,England,Real Madrid,2013-14,Group Stage,Porto,17,Penalty,Home,1
Raul Gonzalez,Spain,Real Madrid,2023-24,Group Stage,Inter Milan,30,Penalty,Away,1
Harry Kane,England,Tottenham Hotspur,2023-24,Group Stage,Arsenal,35,Left Foot,Home,1
Gareth Bale,Wales,Real Madrid,2021-22,Round Of 16,Arsenal,58,Header,Home,1
Raul Gonzalez,Spain,Real Madrid,2019-20,Round Of 16,Juventus,51,Penalty,Home,3
Gareth Bale,Wales,Real Madrid,2018-19,Group Stage,Manchester United,48,Penalty,Away,1
Julian Alvarez,Argentina,Manchester City,2018-19,Round Of 16,Ajax,16,Free Kick,Away,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2011-12,Round Of 16,Napoli,75,Header,Away,2
Kylian Mbappe,France,Real Madrid,2017-18,Group Stage,Ajax,34,Header,Away,3
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2018-19,Group Stage,Sevilla,6,Header,Home,3
Victor Osimhen,Nigeria,Napoli,2015-16,Semi-Final,Ajax,89,Right Foot,Away,1
Victor Osimhen,Nigeria,Napoli,2012-13,Quarter-Final,Manchester City,58,Left Foot,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2019-20,Round Of 16,Porto,82,Right Foot,Away,1
Riyad Mahrez,Algeria,Manchester City,2013-14,Quarter-Final,Porto,49,Free Kick,Home,1
Bernardo Silva,Portugal,Manchester City,2011-12,Round Of 16,Chelsea,16,Right Foot,Home,1
Sergio Aguero,Argentina,Manchester City,2014-15,Group Stage,Tottenham Hotspur,18,Right Foot,Away,1
Sadio Mane,Senegal,Liverpool,2010-11,Group Stage,Manchester City,2,Header,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2021-22,Round Of 16,Barcelona,86,Header,Away,1
Robert Lewandowski,Poland,Barcelona,2016-17,Final,Sevilla,20,Right Foot,Away,1
Memphis Depay,Netherlands,Barcelona,2018-19,Round Of 16,Benfica,44,Header,Away,1
Kylian Mbappe,France,Paris Saint-Germain,2015-16,Final,Atletico Madrid,43,Right Foot,Away,2
Toni Kroos,Germany,Real Madrid,2023-24,Round Of 16,Manchester United,52,Penalty,Away,1
Erling Haaland,Norway,Manchester City,2022-23,Group Stage,Sevilla,31,Header,Home,2
Memphis Depay,Netherlands,Barcelona,2015-16,Round Of 16,Inter Milan,76,Right Foot,Home,1
Didier Drogba,Ivory Coast,Chelsea,2017-18,Group Stage,Atletico Madrid,1,Penalty,Away,3
Karim Benzema,France,Real Madrid,2017-18,Quarter-Final,Ac Milan,9,Right Foot,Home,2
Andriy Shevchenko,Ukraine,Chelsea,2011-12,Quarter-Final,Inter Milan,4,Header,Away,1
Kylian Mbappe,France,Paris Saint-Germain,2020-21,Final,Inter Milan,37,Left Foot,Away,1
Ruud Van Nistelrooy,Netherlands,Manchester United,2010-11,Group Stage,Barcelona,48,Free Kick,Home,2
Riyad Mahrez,Algeria,Manchester City,2021-22,Final,Bayern Munich,3,Penalty,Home,2
Antoine Griezmann,France,Atletico Madrid,2012-13,Round Of 16,Manchester United,81,Right Foot,Away,2
Sergio Aguero,Argentina,Manchester City,2015-16,Semi-Final,Ac Milan,2,Header,Home,2
Harry Kane,England,Bayern Munich,2012-13,Round Of 16,Tottenham Hotspur,70,Header,Home,3
Gareth Bale,Wales,Real Madrid,2010-11,Group Stage,Napoli,12,Free Kick,Home,1
Paulo Dybala,Argentina,Juventus,2022-23,Semi-Final,Porto,29,Right Foot,Away,1
Fernando Torres,Spain,Chelsea,2019-20,Round Of 16,Manchester City,59,Free Kick,Home,3
Mohamed Salah,Egypt,Liverpool,2013-14,Quarter-Final,Tottenham Hotspur,38,Free Kick,Away,1
Fernando Torres,Spain,Chelsea,2019-20,Group Stage,Tottenham Hotspur,67,Left Foot,Away,3
Lionel Messi,Argentina,Barcelona,2015-16,Group Stage,Ajax,60,Left Foot,Away,1
Sergio Aguero,Argentina,Manchester City,2016-17,Round Of 16,Barcelona,13,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Barcelona,2023-24,Round Of 16,Sevilla,3,Header,Away,1
Jude Bellingham,England,Real Madrid,2011-12,Round Of 16,Napoli,78,Free Kick,Away,1
Sadio Mane,Senegal,Bayern Munich,2017-18,Group Stage,Liverpool,29,Penalty,Away,2
Jude Bellingham,England,Real Madrid,2021-22,Round Of 16,Manchester City,42,Penalty,Away,2
Joshua Kimmich,Germany,Bayern Munich,2020-21,Quarter-Final,Tottenham Hotspur,26,Penalty,Home,2
Robert Lewandowski,Poland,Bayern Munich,2013-14,Semi-Final,Napoli,86,Left Foot,Home,3
Ousmane Dembele,France,Paris Saint-Germain,2010-11,Round Of 16,Manchester City,42,Right Foot,Home,2
Mohamed Salah,Egypt,Liverpool,2014-15,Round Of 16,Chelsea,63,Left Foot,Home,1
Ruud Van Nistelrooy,Netherlands,Manchester United,2017-18,Group Stage,Porto,27,Penalty,Home,3
Antoine Griezmann,France,Atletico Madrid,2018-19,Semi-Final,Paris Saint-Germain,2,Penalty,Home,2
Thomas Muller,Germany,Bayern Munich,2021-22,Final,Sevilla,69,Header,Away,2
Joshua Kimmich,Germany,Bayern Munich,2010-11,Final,Liverpool,74,Penalty,Away,1
Kevin De Bruyne,Belgium,Manchester City,2023-24,Quarter-Final,Arsenal,16,Penalty,Away,3
Wayne Rooney,England,Manchester United,2016-17,Semi-Final,Benfica,30,Penalty,Home,2
Lionel Messi,Argentina,Barcelona,2015-16,Final,Ac Milan,39,Header,Away,1
Memphis Depay,Netherlands,Barcelona,2019-20,Group Stage,Manchester United,41,Header,Away,1
Sergio Aguero,Argentina,Manchester City,2012-13,Final,Sevilla,35,Left Foot,Away,1
Kylian Mbappe,France,Paris Saint-Germain,2016-17,Round Of 16,Manchester City,10,Right Foot,Away,3
Joshua Kimmich,Germany,Bayern Munich,2018-19,Round Of 16,Benfica,6,Right Foot,Away,1
Neymar Jr,Brazil,Barcelona,2018-19,Group Stage,Inter Milan,58,Header,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2014-15,Group Stage,Paris Saint-Germain,48,Header,Home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2021-22,Round Of 16,Inter Milan,79,Left Foot,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2022-23,Group Stage,Sevilla,29,Penalty,Home,1
Wayne Rooney,England,Manchester United,2017-18,Round Of 16,Liverpool,61,Right Foot,Away,1
Harry Kane,England,Bayern Munich,2016-17,Round Of 16,Porto,95,Penalty,Home,2
Robert Lewandowski,Poland,Barcelona,2018-19,Round Of 16,Inter Milan,33,Header,Away,1
Wayne Rooney,England,Manchester United,2022-23,Semi-Final,Borussia Dortmund,53,Header,Away,2
Bernardo Silva,Portugal,Manchester City,2017-18,Final,Benfica,74,Right Foot,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2023-24,Round Of 16,Porto,37,Right Foot,Home,1
Sadio Mane,Senegal,Liverpool,2011-12,Round Of 16,Paris Saint-Germain,86,Penalty,Home,3
Edinson Cavani,Uruguay,Paris Saint-Germain,2012-13,Round Of 16,Ajax,79,Right Foot,Home,3
Jude Bellingham,England,Real Madrid,2023-24,Round Of 16,Sevilla,85,Right Foot,Home,2
Jude Bellingham,England,Real Madrid,2010-11,Semi-Final,Ac Milan,3,Penalty,Home,2
Luka Modric,Croatia,Real Madrid,2016-17,Final,Atletico Madrid,41,Left Foot,Home,1
Kevin De Bruyne,Belgium,Manchester City,2011-12,Group Stage,Inter Milan,48,Left Foot,Away,3
Sergio Aguero,Argentina,Manchester City,2010-11,Semi-Final,Arsenal,38,Header,Away,1
Cristiano Ronaldo,Portugal,Juventus,2014-15,Quarter-Final,Chelsea,57,Right Foot,Away,2
Wayne Rooney,England,Manchester United,2020-21,Group Stage,Barcelona,54,Free Kick,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2011-12,Semi-Final,Bayern Munich,1,Header,Away,2
Antoine Griezmann,France,Atletico Madrid,2020-21,Round Of 16,Barcelona,45,Penalty,Away,2
Robert Lewandowski,Poland,Borussia Dortmund,2016-17,Round Of 16,Bayern Munich,49,Header,Away,2
Antoine Griezmann,France,Atletico Madrid,2014-15,Final,Sevilla,24,Penalty,Away,1
Karim Benzema,France,Real Madrid,2018-19,Final,Bayern Munich,32,Penalty,Away,1
Jude Bellingham,England,Real Madrid,2018-19,Round Of 16,Barcelona,92,Left Foot,Home,3
Robert Lewandowski,Poland,Barcelona,2019-20,Semi-Final,Arsenal,83,Free Kick,Away,2
Vinicius Junior,Brazil,Real Madrid,2015-16,Group Stage,Tottenham Hotspur,16,Right Foot,Away,1
Neymar Jr,Brazil,Barcelona,2019-20,Round Of 16,Napoli,14,Left Foot,Home,1
Raul Gonzalez,Spain,Real Madrid,2012-13,Group Stage,Ac Milan,96,Penalty,Away,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2016-17,Quarter-Final,Inter Milan,55,Header,Home,1
Andriy Shevchenko,Ukraine,Chelsea,2014-15,Group Stage,Bayern Munich,57,Header,Home,1
Luis Suarez,Uruguay,Barcelona,2012-13,Round Of 16,Arsenal,1,Left Foot,Home,2
Luka Modric,Croatia,Real Madrid,2015-16,Final,Bayern Munich,59,Free Kick,Away,3
Wayne Rooney,England,Manchester United,2019-20,Semi-Final,Juventus,21,Free Kick,Home,3
Ruud Van Nistelrooy,Netherlands,Manchester United,2022-23,Group Stage,Benfica,23,Header,Away,2
Ousmane Dembele,France,Barcelona,2015-16,Final,Chelsea,79,Right Foot,Away,3
Luis Suarez,Uruguay,Barcelona,2012-13,Group Stage,Liverpool,88,Left Foot,Away,1
Luis Suarez,Uruguay,Barcelona,2020-21,Group Stage,Arsenal,78,Penalty,Away,2
Thomas Muller,Germany,Bayern Munich,2013-14,Round Of 16,Manchester City,17,Penalty,Home,3
Zlatan Ibrahimovic,Sweden,Inter Milan,2012-13,Group Stage,Napoli,54,Left Foot,Away,1
Toni Kroos,Germany,Real Madrid,2016-17,Final,Atletico Madrid,62,Right Foot,Home,1
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2013-14,Round Of 16,Benfica,36,Right Foot,Away,2
Luis Suarez,Uruguay,Barcelona,2012-13,Final,Porto,23,Penalty,Home,3
Vinicius Junior,Brazil,Real Madrid,2010-11,Group Stage,Borussia Dortmund,7,Penalty,Home,1
Jude Bellingham,England,Real Madrid,2022-23,Final,Benfica,41,Header,Home,2
Bernardo Silva,Portugal,Manchester City,2021-22,Round Of 16,Liverpool,18,Header,Home,1
Memphis Depay,Netherlands,Barcelona,2023-24,Round Of 16,Manchester City,71,Right Foot,Home,1
Julian Alvarez,Argentina,Manchester City,2018-19,Quarter-Final,Chelsea,61,Header,Away,1
Filippo Inzaghi,Italy,Ac Milan,2020-21,Group Stage,Tottenham Hotspur,41,Penalty,Home,1
Filippo Inzaghi,Italy,Ac Milan,2023-24,Group Stage,Manchester City,80,Header,Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2021-22,Semi-Final,Paris Saint-Germain,92,Free Kick,Home,3
Joshua Kimmich,Germany,Bayern Munich,2018-19,Group Stage,Arsenal,15,Header,Away,1
Luis Suarez,Uruguay,Barcelona,2017-18,Final,Manchester United,45,Left Foot,Away,3
Filippo Inzaghi,Italy,Ac Milan,2010-11,Group Stage,Napoli,46,Header,Away,1
Raul Gonzalez,Spain,Real Madrid,2016-17,Group Stage,Ajax,71,Right Foot,Home,1
Wayne Rooney,England,Manchester United,2020-21,Final,Arsenal,53,Right Foot,Home,1
Bukayo Saka,England,Arsenal,2017-18,Final,Barcelona,58,Right Foot,Away,1
Fernando Torres,Spain,Chelsea,2017-18,Final,Borussia Dortmund,8,Penalty,Home,1
Toni Kroos,Germany,Real Madrid,2020-21,Round Of 16,Chelsea,20,Header,Home,2
Andriy Shevchenko,Ukraine,Ac Milan,2012-13,Semi-Final,Benfica,16,Header,Away,1
Karim Benzema,France,Real Madrid,2010-11,Semi-Final,Inter Milan,30,Header,Home,1
Filippo Inzaghi,Italy,Ac Milan,2012-13,Quarter-Final,Porto,12,Left Foot,Away,1
Luka Modric,Croatia,Real Madrid,2023-24,Final,Manchester City,96,Penalty,Away,1
Zlatan Ibrahimovic,Sweden,Ac Milan,2020-21,Group Stage,Napoli,90,Penalty,Home,1
Fernando Torres,Spain,Liverpool,2010-11,Quarter-Final,Barcelona,21,Right Foot,Away,1
Sadio Mane,Senegal,Liverpool,2022-23,Group Stage,Juventus,64,Right Foot,Away,1
Alessandro Del Piero,Italy,Juventus,2012-13,Round Of 16,Manchester United,18,Left Foot,Home,1
Fernando Torres,Spain,Chelsea,2022-23,Round Of 16,Atletico Madrid,83,Free Kick,Home,2
Bukayo Saka,England,Arsenal,2014-15,Group Stage,Juventus,82,Right Foot,Away,1
Memphis Depay,Netherlands,Barcelona,2011-12,Final,Porto,77,Penalty,Home,2
Mohamed Salah,Egypt,Liverpool,2020-21,Group Stage,Paris Saint-Germain,3,Right Foot,Home,2
Kylian Mbappe,France,Paris Saint-Germain,2021-22,Final,Manchester United,32,Penalty,Away,2
Vinicius Junior,Brazil,Real Madrid,2012-13,Semi-Final,Arsenal,25,Header,Home,1
Thomas Muller,Germany,Bayern Munich,2016-17,Quarter-Final,Juventus,73,Penalty,Home,1
Paulo Dybala,Argentina,Juventus,2011-12,Quarter-Final,Ajax,49,Free Kick,Away,1
Paulo Dybala,Argentina,Juventus,2010-11,Final,Porto,37,Penalty,Away,1
Andriy Shevchenko,Ukraine,Chelsea,2020-21,Group Stage,Sevilla,18,Free Kick,Away,1
Kylian Mbappe,France,Paris Saint-Germain,2012-13,Quarter-Final,Porto,17,Right Foot,Away,1
Bernardo Silva,Portugal,Manchester City,2015-16,Semi-Final,Benfica,48,Header,Home,2
Andriy Shevchenko,Ukraine,Ac Milan,2017-18,Group Stage,Manchester United,68,Right Foot,Home,3
Luka Modric,Croatia,Real Madrid,2010-11,Round Of 16,Benfica,85,Left Foot,Away,3
Robert Lewandowski,Poland,Bayern Munich,2014-15,Quarter-Final,Real Madrid,11,Penalty,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2015-16,Quarter-Final,Manchester City,12,Penalty,Home,1
Sergio Aguero,Argentina,Manchester City,2012-13,Final,Borussia Dortmund,12,Penalty,Away,1
Vinicius Junior,Brazil,Real Madrid,2018-19,Final,Arsenal,6,Header,Away,1
Lionel Messi,Argentina,Paris Saint-Germain,2018-19,Round Of 16,Manchester City,31,Penalty,Home,1
Ruud Van Nistelrooy,Netherlands,Real Madrid,2021-22,Semi-Final,Sevilla,85,Header,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2010-11,Final,Ajax,47,Header,Away,2
Neymar Jr,Brazil,Barcelona,2016-17,Group Stage,Inter Milan,33,Header,Home,1
Sergio Aguero,Argentina,Manchester City,2022-23,Round Of 16,Manchester United,54,Header,Home,3
Harry Kane,England,Tottenham Hotspur,2023-24,Semi-Final,Sevilla,65,Left Foot,Home,3
Gareth Bale,Wales,Real Madrid,2016-17,Group Stage,Sevilla,59,Left Foot,Home,1
Wayne Rooney,England,Manchester United,2013-14,Quarter-Final,Borussia Dortmund,91,Left Foot,Home,2
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2011-12,Group Stage,Ac Milan,21,Header,Away,2
Bernardo Silva,Portugal,Manchester City,2015-16,Round Of 16,Paris Saint-Germain,46,Right Foot,Away,1
Luka Modric,Croatia,Real Madrid,2011-12,Round Of 16,Chelsea,68,Header,Away,2
Antoine Griezmann,France,Atletico Madrid,2018-19,Group Stage,Juventus,17,Right Foot,Away,1
Paulo Dybala,Argentina,Juventus,2019-20,Group Stage,Bayern Munich,37,Right Foot,Home,2
Kevin De Bruyne,Belgium,Manchester City,2013-14,Group Stage,Inter Milan,75,Right Foot,Away,1
Filippo Inzaghi,Italy,Ac Milan,2015-16,Semi-Final,Sevilla,61,Penalty,Home,2
Karim Benzema,France,Real Madrid,2018-19,Round Of 16,Sevilla,95,Right Foot,Home,1
Julian Alvarez,Argentina,Manchester City,2011-12,Round Of 16,Borussia Dortmund,86,Penalty,Away,3
Andriy Shevchenko,Ukraine,Chelsea,2020-21,Group Stage,Borussia Dortmund,96,Free Kick,Away,3
Sadio Mane,Senegal,Bayern Munich,2022-23,Group Stage,Sevilla,26,Free Kick,Away,2
Karim Benzema,France,Real Madrid,2010-11,Quarter-Final,Inter Milan,60,Right Foot,Away,2
Bukayo Saka,England,Arsenal,2012-13,Group Stage,Sevilla,38,Penalty,Home,1
Raul Gonzalez,Spain,Real Madrid,2010-11,Round Of 16,Inter Milan,50,Header,Away,1
Didier Drogba,Ivory Coast,Chelsea,2017-18,Round Of 16,Paris Saint-Germain,68,Penalty,Home,3
Erling Haaland,Norway,Manchester City,2023-24,Final,Ajax,95,Header,Away,3
Victor Osimhen,Nigeria,Napoli,2012-13,Round Of 16,Atletico Madrid,66,Penalty,Home,1
Kylian Mbappe,France,Paris Saint-Germain,2023-24,Quarter-Final,Manchester United,1,Header,Home,1
Lionel Messi,Argentina,Paris Saint-Germain,2012-13,Group Stage,Manchester City,19,Right Foot,Away,1
Paulo Dybala,Argentina,Juventus,2023-24,Final,Real Madrid,20,Right Foot,Away,2
Cristiano Ronaldo,Portugal,Juventus,2019-20,Group Stage,Paris Saint-Germain,87,Header,Away,1
