Player,Nationality,Club,Season,Round,Opponent,Minute,Goal_Type,Venue,Goals_In_Match
Toni Kroos,Germany,Real Madrid,2010-11,Semi-final,Manchester City,53',Left Foot,AWAY,1
Julian Alvarez,Argentina,Manchester City,2013-14,R16,,92,Penalty,Home ,2
Ruud van Nistelrooy,Netherlands,Manchester United,2016-17,Semi-final,Barcelona,27,Right Foot, Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2012-13,GROUP STAGE,Liverpool,59,PENALTY,Home ,1
Sergio Aguero,Argentina,Manchester City,2012-13,R16,Manchester United,64,right foot,Away,1
Wayne Rooney,England,Manchester United,2020-21,Group stage,Benfica,50',PENALTY, Away,1
Sadio Mane,Senegal,Bayern Munich,2023-24,Semi-final,Liverpool,75,Free Kick,Home,2
  JULIAN ALVAREZ  ,Argentina,Manchester City,2021-22,Semi-final,Manchester United,60,Left Foot,AWAY,1
Thomas Muller,Germany,Bayern Munich,2018-19,GROUP STAGE,Benfica,78,PENALTY,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2023-24,Final,Barcelona,41,Header,AWAY,3
andriy shevchenko,Ukraine,Chelsea,2012-13,Group stage,Atletico Madrid,59,Left Foot,Away,1
Sergio Aguero,Argentina,Manchester City,2016-17,Group Stage,Napoli,95,right foot, Away,1
Raul Gonzalez,Spain,Real Madrid,2011-12,R16,Napoli,42,Penalty,home,3
Gareth Bale,Wales,Real Madrid,2013-14,Semi-final,Bayern Munich,94,Header,Away,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2018-19,Semi-final,Benfica,14,Free Kick, Away,3
Filippo Inzaghi,Italy,AC Milan,2015-16,Group stage,Ajax,12,right foot, Away,1
Riyad Mahrez,Algeria,Manchester City,2014-15,Quarter-final,Barcelona,53,Left Foot,Home ,2
Lionel Messi,Argentina,Paris Saint-Germain,2012-13,GROUP STAGE,Arsenal,82,Left Foot,AWAY,1
Mohamed Salah,Egypt,Liverpool,2013-14,Group Stage,Chelsea,59,Right Foot,home,1
Neymar Jr,Brazil,Barcelona,2012-13,R16,Sevilla,60,header, Away,2
Paulo Dybala,Argentina,Juventus,2019-20,GROUP STAGE,Porto,82,Left Foot,Home ,2
Erling Haaland,Norway,Manchester City,2019-20,Round of 16,Real Madrid,,PENALTY,home,1
ousmane dembele,France,Paris Saint-Germain,2016-17,R16,AC Milan,14,right foot,home,1
Fernando Torres,Spain,Liverpool,2013-14,Round of 16,AC Milan,94,Header,home,1
Alfredo Di Stefano,Argentina,Real Madrid,2015-16,Group stage,Barcelona,57,Free Kick, Away,1
Mohamed Salah,Egypt,Liverpool,2021-22,R16,Benfica,37,header, Away,2
Lionel Messi,,Paris Saint-Germain,2012-13,Group Stage,,54,PENALTY,Home ,1
Vinicius Junior,Brazil,Real Madrid,2016-17,Round of 16,Paris Saint-Germain,68,PENALTY,Home ,1
Julian Alvarez,Argentina,Manchester City,2020-21,Semi-final,Barcelona,55,Free Kick,Away,3
Wayne Rooney,England,Manchester United,2017-18,GROUP STAGE,Manchester City,25,Free Kick, Away,1
Riyad Mahrez,Algeria,Manchester City,2016-17,Round of 16,Barcelona,61,header, Away,3
Kylian Mbappe,France,Paris Saint-Germain,2012-13,Round of 16,Manchester United,9',Free Kick,AWAY,1
Cristiano Ronaldo,Portugal,Real Madrid,2010-11,GROUP STAGE,AC Milan,46,Header,AWAY,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2012-13,Group Stage,Porto,,PENALTY,Home,1
Bernardo Silva,Portugal,Manchester City,2021-22,Final,Barcelona,43,Penalty,Home ,1
Alfredo Di Stefano,Argentina,Real Madrid,2014-15,Group stage,Arsenal,16,Right Foot,AWAY,1
Vinicius Junior,Brazil,Real Madrid,2011-12,GROUP STAGE,Real Madrid,72,Penalty, Away,1
Julian Alvarez,Argentina,Manchester City,2011-12,Quarter-final,Arsenal,57,header,Home,1
Karim Benzema,France,Real Madrid,2010-11,GROUP STAGE,Juventus,94,right foot,Home,1
Luis Suarez,Uruguay,Atletico Madrid,2011-12,Group stage,Ajax,88,Header,Home ,1
Robert Lewandowski,Poland,Barcelona,2016-17,R16,AC Milan,25,Penalty, Away,1
Ousmane Dembele,France,Barcelona,2022-23,Group Stage,Sevilla,40,right foot,AWAY,2
joshua kimmich,Germany,Bayern Munich,2014-15,Round of 16,Manchester United,28,Penalty,home,3
Wayne Rooney,England,Manchester United,2017-18,GROUP STAGE,Sevilla,45,PENALTY,home,1
Toni Kroos,Germany,Real Madrid,2020-21,Final,Arsenal,24,Right Foot,Home,1
Thomas Muller,Germany,Bayern Munich,2016-17,Round of 16,,42,header,Away,1
Raul Gonzalez,Spain,Real Madrid,2011-12,GROUP STAGE,Barcelona,93,Free Kick,Home,2
Paulo Dybala,Argentina,Juventus,2013-14,Quarter-final,Barcelona,39,PENALTY,AWAY,3
Neymar Jr,Brazil,Paris Saint-Germain,2016-17,Quarter-final,Juventus,69,header,Away,1
Gareth Bale,Wales,Real Madrid,2015-16,Group Stage,Sevilla,83,Free Kick,home,3
Lionel Messi,Argentina,Paris Saint-Germain,2013-14,Group stage,Paris Saint-Germain,53,PENALTY,Home,1
Filippo Inzaghi,Italy,AC Milan,2016-17,Group stage,Manchester City,38,header,Away,1
Luis Suarez,Uruguay,Atletico Madrid,2013-14,GROUP STAGE,Barcelona,,PENALTY,Away,3
Sergio Aguero,Argentina,Manchester City,2020-21,Group Stage,Bayern Munich,47,Penalty, Away,1
Zlatan Ibrahimovic,Sweden,Inter Milan,2010-11,R16,Benfica,26,Free Kick,Away,3
Neymar Jr,Brazil,Barcelona,2022-23,Group Stage,Benfica,26,right foot,Home ,3
Raul Gonzalez,Spain,Real Madrid,2019-20,Group stage,Liverpool,4',Penalty,home,2
Neymar Jr,Brazil,Barcelona,2020-21,Final,Napoli,,PENALTY, Away,3
Luis Suarez,Uruguay,Atletico Madrid,2017-18,Semi-final,Porto,67,header,home,1
Ousmane Dembele,France,Barcelona,2020-21,GROUP STAGE,Borussia Dortmund,66,right foot,Home,1
Alfredo Di Stefano,Argentina,Real Madrid,2019-20,Final,Juventus,,Free Kick, Away,1
Filippo Inzaghi,Italy,AC Milan,2014-15,Group Stage,Arsenal,78,Penalty,home,2
Riyad Mahrez,Algeria,Manchester City,2021-22,Group Stage,Manchester United,88,right foot,Home ,1
Ousmane Dembele,France,Barcelona,2023-24,Group Stage,Tottenham Hotspur,23,Header,Home,2
Kevin De Bruyne,Belgium,Manchester City,2018-19,Round of 16,Napoli,34,Header,Home ,3
Riyad Mahrez,Algeria,Manchester City,2020-21,Final,Barcelona,43,Header, Away,1
Kylian Mbappe,France,Real Madrid,2015-16,R16,Borussia Dortmund,80,Right Foot,home,1
victor osimhen,Nigeria,Napoli,2021-22,Quarter-final,Atletico Madrid,81,PENALTY,Home,1
Kylian Mbappe,France,Paris Saint-Germain,2010-11,Semi-final,Bayern Munich,,PENALTY,AWAY,2
Bernardo Silva,Portugal,Manchester City,2020-21,Group Stage,Real Madrid,93,header,Home,3
Zlatan Ibrahimovic,Sweden,Barcelona,2012-13,GROUP STAGE,Manchester City,70,Free Kick, Away,1
Bernardo Silva,Portugal,Manchester City,2015-16,Group stage,Atletico Madrid,53,Header,Home ,1
Lionel Messi,Argentina,Paris Saint-Germain,2019-20,Semi-final,Barcelona,33,Free Kick,Away,1
Vinicius Junior,Brazil,Real Madrid,2013-14,Semi-final,Ajax,95',Header,AWAY,3
Memphis Depay,Netherlands,Barcelona,2011-12,Quarter-final,Tottenham Hotspur,91,right foot,AWAY,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2016-17,Semi-final,Arsenal,33,Right Foot, Away,1
Sergio Aguero,Argentina,Manchester City  ,2019-20,Group Stage,Tottenham Hotspur,10,Penalty, Away,1
Neymar Jr,Brazil,Paris Saint-Germain  ,2023-24,Group stage,Real Madrid,60,PENALTY, Away,3
Lionel Messi,Argentina,Paris Saint-Germain,2015-16,R16,Chelsea,27,header,Home,2
Riyad Mahrez,Algeria,Manchester City,2014-15,Round of 16,Atletico Madrid,77,right foot, Away,2
Kevin De Bruyne,,Manchester City,2022-23,R16,Liverpool,80,Penalty, Away,1
Robert Lewandowski,Poland,Bayern Munich,2016-17,Round of 16,Real Madrid,85,right foot,home,1
  JUDE BELLINGHAM  ,England,Real Madrid,2012-13,Semi-final,Arsenal,67,header,Away,1
kylian mbappe,France,Paris Saint-Germain,2010-11,R16,Real Madrid,78,Header,Away,1
Didier Drogba,Ivory Coast,Chelsea,2012-13,Group stage,Atletico Madrid,33,Header,Home,2
Sadio Mane,Senegal,Bayern Munich,2012-13,Quarter-final,Paris Saint-Germain,16,Right Foot,home,3
Ousmane Dembele,France,Paris Saint-Germain,2021-22,Final,Borussia Dortmund,34,Right Foot,home,2
Toni Kroos,Germany,Real Madrid,2023-24,Semi-final,Chelsea,86,Free Kick,Home ,3
Karim Benzema,France,Real Madrid,2018-19,Group Stage,Barcelona,94,Left Foot,home,1
Fernando Torres,Spain,Chelsea,2022-23,Semi-final,Arsenal,40,Right Foot,home,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2014-15,Group stage,Barcelona,89,PENALTY,home,1
Toni Kroos,Germany,Real Madrid,2019-20,Semi-final,Juventus,32,right foot,Home,1
Luka Modric,Croatia,Real Madrid,2020-21,Round of 16,Real Madrid,59,header, Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2018-19,Group stage,Real Madrid,54,Free Kick,Home ,1
Harry Kane,England,Bayern Munich,2010-11,Semi-final,Chelsea,74,PENALTY,home,2
Kylian Mbappe,France,Paris Saint-Germain,2017-18,Group Stage,AC Milan,41',Left Foot,Home ,3
Filippo Inzaghi,Italy,AC Milan,2018-19,GROUP STAGE,Sevilla,96,Left Foot, Away,1
Alfredo Di Stefano,Argentina,Real Madrid,2011-12,Quarter-final,Arsenal,41,Header,Home ,2
Sadio Mane,Senegal,Bayern Munich,2016-17,Group stage,,18,Penalty,home,1
Julian Alvarez,Argentina,Manchester City,2010-11,Semi-final,Bayern Munich,54,PENALTY,Home ,3
Alessandro Del Piero,Italy,Juventus,2019-20,Quarter-final,Barcelona,17,Right Foot,home,1
Victor Osimhen,Nigeria,Napoli,2012-13,Round of 16,Manchester City,14,Right Foot,Away,1
Karim Benzema,France,Real Madrid,2016-17,Quarter-final,Liverpool,38,Left Foot,Away,2
Sergio Aguero,Argentina,Manchester City  ,2023-24,Quarter-final,Tottenham Hotspur,54,Right Foot,home,1
Julian Alvarez,Argentina,Manchester City,2010-11,R16,Porto,37,Right Foot,Home,1
Zlatan Ibrahimovic,Sweden,AC Milan,2018-19,Group Stage,,86,PENALTY,AWAY,2
Wayne Rooney,England,Manchester United,2013-14,Group stage,AC Milan,88,right foot, Away,3
Ousmane Dembele,France,Paris Saint-Germain,2022-23,Round of 16,Arsenal,94,PENALTY,Home,2
Ruud van Nistelrooy,Netherlands,Manchester United,2018-19,Group Stage,Real Madrid,23,PENALTY,Away,3
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2012-13,R16,Inter Milan,6,PENALTY,AWAY,2
Bukayo Saka,England,Arsenal,2010-11,Semi-final,Benfica,16,Penalty,AWAY,1
Mohamed Salah,Egypt,Liverpool,2017-18,Quarter-final,Liverpool,88,Left Foot,Away,2
Gareth Bale,Wales,Real Madrid,2017-18,Final,Borussia Dortmund,66,Left Foot,AWAY,1
Paulo Dybala,Argentina,Juventus,2018-19,R16,AC Milan,9,Header,AWAY,2
Didier Drogba,Ivory Coast,Chelsea,2019-20,GROUP STAGE,Sevilla,24,Header,AWAY,2
Thomas Muller,Germany,Bayern Munich,2019-20,Round of 16,Manchester City,76,Penalty,Home ,2
Jude Bellingham,England,Real Madrid  ,2010-11,R16,Paris Saint-Germain,33,PENALTY,home,3
Wayne Rooney,England,Manchester United,2011-12,GROUP STAGE,Inter Milan,51,right foot,Away,1
Riyad Mahrez,Algeria,Manchester City,2012-13,Semi-final,Sevilla,85,Header,Home,1
Karim Benzema,France,Real Madrid,2012-13,GROUP STAGE,Ajax,86,Right Foot,AWAY,1
Robert Lewandowski,Poland,Bayern Munich,2020-21,Group Stage,Benfica,90,Header,home,1
Sergio Aguero,Argentina,Manchester City,2022-23,Quarter-final,Paris Saint-Germain,13,Left Foot,home,1
Andriy Shevchenko,Ukraine,AC Milan,2010-11,GROUP STAGE,Sevilla,14,Penalty,Away,2
Neymar Jr,Brazil,Barcelona,2010-11,Final,Juventus,45,Penalty,Away,1
Memphis Depay,Netherlands,Barcelona,2022-23,Group stage,Porto,4,Free Kick,AWAY,1
Victor Osimhen,Nigeria,Napoli,2011-12,Group Stage,Liverpool,15,Header, Away,3
Kylian Mbappe,France,Real Madrid,2014-15,Final,Arsenal,46,header,AWAY,1
Antoine Griezmann,France,Atletico Madrid,2017-18,Group Stage,Ajax,29,Penalty,Home,1
Neymar Jr,Brazil,Paris Saint-Germain,2012-13,Group Stage,Barcelona,68,right foot,Home ,1
Julian Alvarez,Argentina,Manchester City,2013-14,Final,Arsenal,55,Left Foot,AWAY,2
Harry Kane,England,Tottenham Hotspur,2019-20,Group stage,Manchester United,95,Left Foot,AWAY,1
  SADIO MANE  ,Senegal,Liverpool,2018-19,GROUP STAGE,Porto,46,right foot,AWAY,2
Bukayo Saka,England,Arsenal,2016-17,Group stage,Manchester City,82,header, Away,1
Luka Modric,Croatia,Real Madrid,2015-16,Group Stage,Porto,90,PENALTY,Away,3
  MEMPHIS DEPAY  ,Netherlands,Barcelona  ,2020-21,R16,Napoli,3,Right Foot,Home ,1
Andriy Shevchenko,Ukraine,AC Milan,2016-17,GROUP STAGE,AC Milan,10,right foot, Away,2
Alessandro Del Piero,Italy,Juventus,2011-12,Final,Barcelona,74,right foot,home,1
Neymar Jr,Brazil,Barcelona,2011-12,Final,Borussia Dortmund,82,Penalty, Away,2
Gareth Bale,Wales,Real Madrid,2018-19,Final,Arsenal,64',Right Foot, Away,2
Toni Kroos,Germany,Real Madrid,2019-20,Semi-final,AC Milan,41,Penalty,AWAY,1
Ousmane Dembele,France,Barcelona,2016-17,Semi-final,Inter Milan,74,Header,AWAY,2
Ruud van Nistelrooy,Netherlands,Manchester United,2016-17,Round of 16,Napoli,96,right foot,Away,1
Joshua Kimmich,Germany,Bayern Munich,2019-20,Group stage,,72,right foot, Away,1
Bukayo Saka,England,Arsenal,2012-13,Group stage,Napoli,22,Header, Away,1
Mohamed Salah,Egypt,Liverpool,2020-21,Round of 16,Barcelona,54,PENALTY,Home ,1
Toni Kroos,Germany,Real Madrid,2023-24,Round of 16,Napoli,61,Right Foot, Away,1
Riyad Mahrez,Algeria,Manchester City,2015-16,Quarter-final,,11,Penalty,home,1
Andriy Shevchenko,Ukraine,Chelsea,2021-22,Quarter-final,Chelsea,83,PENALTY,Home ,1
Harry Kane,England,Tottenham Hotspur,2015-16,Group stage,Manchester United,70,Left Foot, Away,1
Karim Benzema,France,Real Madrid,2020-21,R16,Arsenal,77,Left Foot,AWAY,1
Joshua Kimmich,Germany,Bayern Munich,2013-14,Semi-final,Bayern Munich,51,header,home,2
Sergio Aguero,Argentina,Manchester City,2023-24,Group Stage,Napoli,27,header,AWAY,2
Vinicius Junior,Brazil,Real Madrid,2021-22,Round of 16,Arsenal,24,Header,AWAY,1
Luka Modric,Croatia,Real Madrid,2018-19,Semi-final,Sevilla,23,Left Foot, Away,3
Fernando Torres,Spain,Chelsea,2019-20,GROUP STAGE,Manchester United,42,Left Foot,AWAY,2
Ousmane Dembele,France,Barcelona,2010-11,Round of 16,Barcelona,24,Left Foot,Home ,2
Jude Bellingham,England,Real Madrid,2010-11,Round of 16,Chelsea,44,Penalty,home,1
Joshua Kimmich,Germany,Bayern Munich,2012-13,Group stage,Tottenham Hotspur,49,right foot,Away,1
Karim Benzema,France,Real Madrid,2022-23,Group Stage,Chelsea,86,Right Foot,Home,2
Victor Osimhen,Nigeria,Napoli,2021-22,Semi-final,Arsenal,,Header,home,2
Sergio Aguero,Argentina,Manchester City,2021-22,Final,Benfica,9,right foot,Home ,3
Thomas Muller,Germany,Bayern Munich,2023-24,Round of 16,Borussia Dortmund,72,PENALTY,home,1
Sergio Aguero,Argentina,Manchester City,2012-13,Group Stage,Barcelona,21,Left Foot,Home ,1
Fernando Torres,Spain,Chelsea,2021-22,Round of 16,Benfica,46,header,Home,2
Alessandro Del Piero,Italy,Juventus,2015-16,Final,Liverpool,14,Left Foot,home,1
Riyad Mahrez,Algeria,Manchester City,2023-24,GROUP STAGE,Ajax,57,right foot,Home ,1
Riyad Mahrez,Algeria,Manchester City,2019-20,Final,Real Madrid,5,PENALTY,Home,3
Wayne Rooney,England,Manchester United,2018-19,Semi-final,AC Milan,34,Penalty,AWAY,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2014-15,Final,Porto,3,Right Foot,AWAY,1
Fernando Torres,Spain,Chelsea,2021-22,Quarter-final,Manchester United,26',right foot,AWAY,1
Joshua Kimmich,Germany,Bayern Munich,2016-17,Group Stage,Ajax,51,header,Home,3
Jude Bellingham,England,Real Madrid,2018-19,Group stage,Manchester United,51',Header,AWAY,2
Gareth Bale,Wales,Real Madrid,2011-12,GROUP STAGE,Sevilla,91,Free Kick,home,2
Edinson Cavani,Uruguay,Paris Saint-Germain,2023-24,Round of 16,Chelsea,25,Penalty,AWAY,3
Harry Kane,England,Bayern Munich,2021-22,Final,Manchester United,63,right foot,Home ,2
Cristiano Ronaldo,Portugal,Manchester United,2010-11,GROUP STAGE,Tottenham Hotspur,13,Left Foot, Away,1
Erling Haaland,Norway,Manchester City,2018-19,Round of 16,Napoli,37,Right Foot,Home ,3
Memphis Depay,Netherlands,Barcelona,2014-15,Final,Liverpool,39,header,AWAY,1
Jude Bellingham,England,Real Madrid,2017-18,Group stage,Napoli,34',right foot,home,2
Harry Kane,England,Tottenham Hotspur,2020-21,Semi-final,Chelsea,2,PENALTY,AWAY,2
Luis Suarez,Uruguay,Barcelona,2017-18,Group Stage,Chelsea,47,Header,AWAY,1
Wayne Rooney,England,Manchester United,2014-15,Round of 16,Tottenham Hotspur,95,right foot,Home,1
Erling Haaland,Norway,Manchester City,2023-24,Round of 16,Tottenham Hotspur,47,right foot,Home ,1
Erling Haaland,Norway,Manchester City,2010-11,Quarter-final,Barcelona,96,right foot,home,2
Sadio Mane,,Bayern Munich,2023-24,Semi-final,Sevilla,11,header,AWAY,1
Riyad Mahrez,Algeria,Manchester City,2021-22,Quarter-final,Real Madrid,23,right foot,AWAY,1
Antoine Griezmann,France,Atletico Madrid,2012-13,Group stage,Liverpool,50,Header,Home ,1
Ousmane Dembele,France,Paris Saint-Germain,2013-14,Semi-final,Inter Milan,,Penalty,Home,2
Memphis Depay,Netherlands,Barcelona,2012-13,Group Stage,AC Milan,,Penalty, Away,1
  JOSHUA KIMMICH  ,Germany,Bayern Munich,2011-12,Quarter-final,Barcelona,55,PENALTY, Away,1
Neymar Jr,Brazil,Barcelona,2019-20,GROUP STAGE,Manchester United,88,Left Foot,Away,2
Karim Benzema,France,Real Madrid,2020-21,Group stage,Real Madrid,58,Right Foot,Home ,2
Bernardo Silva,Portugal,Manchester City,2021-22,Quarter-final,Real Madrid,53,Free Kick,home,2
Harry Kane,England,Tottenham Hotspur,2018-19,GROUP STAGE,Manchester City,3,Header,Home ,1
Robert Lewandowski,Poland,Borussia Dortmund,2023-24,GROUP STAGE,AC Milan,91,Free Kick,Away,1
Zlatan Ibrahimovic,Sweden,Barcelona,2021-22,Group Stage,Juventus,15,Penalty,Away,1
Alessandro Del Piero,Italy,Juventus,2019-20,Group stage,AC Milan,29,Penalty,Home ,2
Bernardo Silva,Portugal,Manchester City,2013-14,Semi-final,Arsenal,63,header,AWAY,3
Luis Suarez,Uruguay,Atletico Madrid,2010-11,Quarter-final,Porto,81,PENALTY,Home ,1
Filippo Inzaghi,Italy,AC Milan,2011-12,Group Stage,Atletico Madrid,27,Header,AWAY,1
Paulo Dybala,Argentina,Juventus,2019-20,Group Stage,Tottenham Hotspur,44,Right Foot,AWAY,2
Didier Drogba,Ivory Coast,Chelsea,2017-18,Group Stage,Liverpool,82,PENALTY, Away,1
  SERGIO AGUERO  ,Argentina,Manchester City,2012-13,Quarter-final,Manchester City,7,right foot,AWAY,2
Wayne Rooney,England,Manchester United,2020-21,Semi-final,Manchester City,80,PENALTY,Away,1
Zlatan Ibrahimovic,Sweden,Inter Milan,2017-18,Group Stage,Juventus,59,Free Kick,home,1
Fernando Torres,Spain,Liverpool,2017-18,Round of 16,Borussia Dortmund,67,Header,AWAY,2
wayne rooney,England,Manchester United,2022-23,GROUP STAGE,,72,Right Foot,Home ,3
Wayne Rooney,England,Manchester United,2019-20,Semi-final,Barcelona,30,Right Foot,home,2
Kevin De Bruyne,Belgium,Manchester City,2018-19,R16,Manchester City,20,header, Away,1
Fernando Torres,Spain,Chelsea,2011-12,R16,Paris Saint-Germain,54,header,home,1
Luis Suarez,Uruguay,Atletico Madrid,2017-18,Semi-final,Sevilla,13,Free Kick, Away,1
Vinicius Junior,Brazil,Real Madrid,2019-20,Quarter-final,Chelsea,5,Left Foot, Away,1
Mohamed Salah,Egypt,Liverpool,2010-11,GROUP STAGE,Arsenal,,PENALTY,Home ,1
Robert Lewandowski,Poland,Bayern Munich,2014-15,Group Stage,Chelsea,64,Left Foot,AWAY,3
Jude Bellingham,England,Real Madrid,2022-23,Round of 16,Liverpool,,Left Foot,home,1
Edinson Cavani,Uruguay,Paris Saint-Germain,2019-20,Group stage,Barcelona,3,Header,Away,1
Karim Benzema,France,Real Madrid,2022-23,GROUP STAGE,Atletico Madrid,93,Right Foot,home,2
Robert Lewandowski,Poland,Barcelona,2010-11,Semi-final,Atletico Madrid,69,Left Foot,home,1
Gareth Bale,Wales,Real Madrid,2023-24,R16,Atletico Madrid,58,Header,Away,1
Toni Kroos,Germany,Real Madrid,2022-23,Final,Inter Milan,1,Free Kick, Away,3
Bukayo Saka,England,Arsenal,2013-14,Quarter-final,Chelsea,15,PENALTY,Away,1
Andriy Shevchenko,Ukraine,Chelsea,2020-21,Group stage,Chelsea,75,Header, Away,1
Ruud van Nistelrooy,Netherlands,Manchester United,2016-17,Round of 16,Borussia Dortmund,39,Right Foot,Away,1
Jude Bellingham,England,Real Madrid,2021-22,GROUP STAGE,Manchester City,38,Penalty, Away,3
Neymar Jr,Brazil,Barcelona,2019-20,GROUP STAGE,Bayern Munich,16,header,Away,1
Kevin De Bruyne,Belgium,Manchester City  ,2017-18,GROUP STAGE,Ajax,39,Right Foot,Away,1
Ruud van Nistelrooy,Netherlands,Manchester United,2013-14,Group Stage,Manchester City,64,Penalty,AWAY,1
Erling Haaland,Norway,Borussia Dortmund,2018-19,Quarter-final,Porto,54,Left Foot,Away,2
Victor Osimhen,Nigeria,Napoli,2012-13,Final,Real Madrid,90,Header,home,2
Bukayo Saka,England,Arsenal,2018-19,Quarter-final,Porto,93,header,Away,3
Neymar Jr,Brazil,Barcelona,2023-24,Group Stage,Liverpool,31,Left Foot,home,1
Alfredo Di Stefano,Argentina,Real Madrid,2017-18,Semi-final,Borussia Dortmund,64,Penalty,Home,2
Kylian Mbappe,France,Real Madrid,2015-16,Quarter-final,Inter Milan,55,Right Foot,Away,1
  MEMPHIS DEPAY  ,Netherlands,Barcelona,2012-13,Final,Bayern Munich,16,Penalty,Home ,2
Zlatan Ibrahimovic,Sweden,Paris Saint-Germain,2020-21,Quarter-final,Real Madrid,38,Right Foot,Home,2
Cristiano Ronaldo,Portugal,Manchester United,2022-23,Final,Juventus,75,Left Foot,AWAY,1
bukayo saka,England,Arsenal,2022-23,GROUP STAGE,Chelsea,64,Free Kick,Away,2
Luis Suarez,Uruguay,Barcelona,2020-21,Final,AC Milan,85,Left Foot,Away,1
Harry Kane,England,Bayern Munich,2017-18,Semi-final,Atletico Madrid,67,right foot,home,1
Riyad Mahrez,Algeria,Manchester City,2014-15,Round of 16,Porto,32,Header,Home ,2
Vinicius Junior,Brazil,Real Madrid,2012-13,GROUP STAGE,Paris Saint-Germain,52,Right Foot,home,3
Riyad Mahrez,Algeria,Manchester City,2022-23,R16,Bayern Munich,56,Penalty,Home ,2
riyad mahrez,Algeria,Manchester City,2013-14,Group Stage,Arsenal,5,header,Home,2
Luis Suarez,Uruguay,Barcelona,2015-16,Final,Paris Saint-Germain,59,Left Foot,home,1
Sadio Mane,Senegal,Liverpool,2010-11,Group Stage,,36,Penalty,AWAY,2
Ruud van Nistelrooy,Netherlands,Real Madrid,2023-24,Round of 16,,3,Left Foot,Away,1
Didier Drogba,Ivory Coast,Chelsea,2014-15,GROUP STAGE,Napoli,86,right foot,Away,1
Thomas Muller,Germany,Bayern Munich,2012-13,Round of 16,Atletico Madrid,51,PENALTY,Away,1
Julian Alvarez,Argentina,Manchester City,2011-12,Round of 16,Sevilla,54,Right Foot,AWAY,2
Vinicius Junior,Brazil,Real Madrid,2021-22,Round of 16,,41,right foot, Away,2
bukayo saka,England,Arsenal,2016-17,Group stage,Real Madrid,83,right foot,Away,1
Victor Osimhen,Nigeria,Napoli,2013-14,Final,Barcelona,54,right foot,Home ,1
  ROBERT LEWANDOWSKI  ,Poland,Borussia Dortmund,2014-15,Round of 16,Porto,73,Right Foot,Home ,1
Alfredo Di Stefano,Argentina,Real Madrid,2013-14,GROUP STAGE,Porto,43,header, Away,1
Luka Modric,Croatia,Real Madrid,2022-23,GROUP STAGE,Benfica,28,Header,Away,2
Erling Haaland,Norway,Manchester City,2022-23,Quarter-final,Napoli,62,PENALTY,AWAY,1
Gareth Bale,Wales,Real Madrid,2018-19,Group Stage,AC Milan,86',header, Away,2
Didier Drogba,Ivory Coast,Chelsea,2010-11,Group stage,Juventus,70,Right Foot,Home ,1
Riyad Mahrez,Algeria,Manchester City,2018-19,Round of 16,Napoli,90,right foot,AWAY,1
filippo inzaghi,Italy,AC Milan,2019-20,Quarter-final,AC Milan,30,header, Away,1
Harry Kane,England,Bayern Munich,2020-21,GROUP STAGE,Napoli,17,Left Foot,home,1
Antoine Griezmann,France,Atletico Madrid,2012-13,R16,Chelsea,16,header,home,1
Joshua Kimmich,Germany,Bayern Munich,2018-19,Group Stage,Ajax,85,Free Kick,Home,1
Fernando Torres,Spain,Chelsea,2017-18,Quarter-final,Sevilla,34,Header, Away,3
Alfredo Di Stefano,Argentina,Real Madrid,2020-21,Round of 16,Chelsea,5,Penalty, Away,1
Filippo Inzaghi,Italy,AC Milan,2019-20,Group stage,Juventus,24,header,home,1
Bernardo Silva,Portugal,Manchester City,2021-22,GROUP STAGE,,31,Free Kick, Away,1
Neymar Jr,Brazil,Paris Saint-Germain,2016-17,Quarter-final,Liverpool,74,PENALTY,AWAY,1
Ousmane Dembele,France,Barcelona,2011-12,GROUP STAGE,Manchester City,2,header,home,3
Gareth Bale,Wales,Real Madrid,2023-24,R16,Arsenal,33,PENALTY,AWAY,3
  LUKA MODRIC  ,Croatia,Real Madrid,2013-14,GROUP STAGE,,83',Left Foot, Away,1
  DIDIER DROGBA  ,Ivory Coast,Chelsea,2023-24,Round of 16,Tottenham Hotspur,43,Right Foot,Away,3
Thomas Muller,Germany,Bayern Munich,2020-21,Round of 16,Tottenham Hotspur,6,Penalty,Away,1
Alessandro Del Piero,Italy,Juventus,2013-14,Round of 16,Arsenal,67,Penalty,Home,1
Ousmane Dembele,France,Paris Saint-Germain,2017-18,Semi-final,Atletico Madrid,82,Header,Away,1
Antoine Griezmann,France,Atletico Madrid,2014-15,R16,Juventus,50,Header,home,3
Toni Kroos,Germany,Real Madrid,2017-18,Quarter-final,Tottenham Hotspur,70,Left Foot,AWAY,1
  THOMAS MULLER  ,Germany,Bayern Munich,2013-14,Group Stage,Ajax,59,PENALTY, Away,1
Ousmane Dembele,France,Barcelona,2020-21,Group stage,,67,Left Foot,AWAY,2
